href,area,price
https://shopeefood.vn/ho-chi-minh/pho-quynh-pho-bo-bo-kho,Quận 1,63235.0
https://shopeefood.vn/ho-chi-minh/com-trua-hello-5-nguyen-trai,Quận 1,42800.0
https://shopeefood.vn/ho-chi-minh/marcel-gourmet-burger-calmette,Quận 1,143733.0
https://shopeefood.vn/ho-chi-minh/bun-bo-hue-31,Quận 1,32307.0
https://shopeefood.vn/ho-chi-minh/lau-bo-nhu-y-cong-quynh,Quận 1,156264.0
https://shopeefood.vn/ho-chi-minh/co-nguyet-bun-dau-mam-tom,Quận 1,34500.0
https://shopeefood.vn/ho-chi-minh/bento-delichi-com-ga-xoi-mo-com-ga-mam-toi-quan-1,Quận 1,53566.0
https://shopeefood.vn/ho-chi-minh/ippudo-ramen-thai-van-lung,Quận 1,67368.0
https://shopeefood.vn/ho-chi-minh/banh-canh-bo-vien-nguyen-van-nguyen,Quận 1,32666.0
https://shopeefood.vn/ho-chi-minh/the-organic-bun-bo,Quận 1,32300.0
https://shopeefood.vn/ho-chi-minh/quan-com-so-7,Quận 1,58421.0
https://shopeefood.vn/ho-chi-minh/ana-foods-dimsum-com-ga-nguyen-thi-minh-khai,Quận 1,41789.0
https://shopeefood.vn/ho-chi-minh/com-42,Quận 1,36117.0
https://shopeefood.vn/ho-chi-minh/tiem-chay-dinh-y-thuc-don-mon-chay-phong-phu,Quận 1,52312.0
https://shopeefood.vn/ho-chi-minh/quan-ma-oi,Quận 1,45666.0
https://shopeefood.vn/ho-chi-minh/mai-phai-ga-len-mam,Quận 1,111125.0
https://shopeefood.vn/ho-chi-minh/thanh-dat-hu-tieu-nam-vang-nguyen-huu-cau,Quận 1,76053.0
https://shopeefood.vn/ho-chi-minh/com-ga-hong-thang-co-giao-tan-noi,Quận 1,120815.0
https://shopeefood.vn/ho-chi-minh/thanh-thao-ly-tu-trong,Quận 1,316882.0
https://shopeefood.vn/ho-chi-minh/bamboo-dimsum-bitexco-tower,Quận 1,33421.0
https://shopeefood.vn/ho-chi-minh/tomidaya-ramen-thai-van-lung,Quận 1,160000.0
https://shopeefood.vn/ho-chi-minh/pho-hanh-nguyen-cu-trinh,Quận 1,69705.0
https://shopeefood.vn/ho-chi-minh/hu-tieu-mi-co-giang-co-giang,Quận 1,70764.0
https://shopeefood.vn/ho-chi-minh/banh-canh-cua-loan-nguyen-cong-tru,Quận 1,29277.0
https://shopeefood.vn/ho-chi-minh/be-che-cho-ben-thanh,Quận 1,29105.0
https://shopeefood.vn/ho-chi-minh/com-tam-thuan-kieu-ton-that-tung,Quận 1,77105.0
https://shopeefood.vn/ho-chi-minh/com-ga-xoi-mo-149-com-ga-mam-toi,Quận 1,51250.0
https://shopeefood.vn/ho-chi-minh/pho-cao-van,Quận 1,65000.0
https://shopeefood.vn/ho-chi-minh/hu-tiu-mi-chu-se,Quận 1,96294.0
https://shopeefood.vn/ho-chi-minh/hai-san-cau-quan-dang-dung,Quận 1,189117.0
https://shopeefood.vn/ho-chi-minh/phu-vuong-quan-pho,Quận 1,77944.0
https://shopeefood.vn/ho-chi-minh/mi-kho-xa-xiu-tom-muc-co-giang,Quận 1,37500.0
https://shopeefood.vn/ho-chi-minh/co-hai-food-com-van-phong,Quận 1,36315.0
https://shopeefood.vn/ho-chi-minh/the-lunch-lady-am-thuc-vung-mien,Quận 1,40769.0
https://shopeefood.vn/ho-chi-minh/5ku-the-gioi-oc-hoang-sa,Quận 1,49933.0
https://shopeefood.vn/ho-chi-minh/canh-bun-hai-ba-trung,Quận 1,20000.0
https://shopeefood.vn/ho-chi-minh/cau-ba-quan-nguyen-van-thu,Quận 1,194777.0
https://shopeefood.vn/ho-chi-minh/lau-dam-bong-nguyen-thi-minh-khai,Quận 1,211666.0
https://shopeefood.vn/ho-chi-minh/mi-vit-tiem-boi-ky,Quận 1,70000.0
https://shopeefood.vn/ho-chi-minh/bun-bo-hue-cong-quynh,Quận 1,62000.0
https://shopeefood.vn/ho-chi-minh/quan-com-minh-tri,Quận 1,56533.0
https://shopeefood.vn/ho-chi-minh/delisa-fresh-salad-bar-nguyen-cong-tru,Quận 1,101142.0
https://shopeefood.vn/ho-chi-minh/bun-cha-ngoc-ha-tran-khac-chan,Quận 1,34411.0
https://shopeefood.vn/ho-chi-minh/vit-quay-huynh-ky-cau-bong,Quận 1,167400.0
https://shopeefood.vn/ho-chi-minh/bun-rieu-goc-nguyen-canh-chan-khong-chi-nhanh,Quận 1,71000.0
https://shopeefood.vn/ho-chi-minh/mien-ga-son-nga,Quận 1,171666.0
https://shopeefood.vn/ho-chi-minh/banh-da-cua-hai-phong-sai-gon-de-nhat-quan,Quận 1,44071.0
https://shopeefood.vn/ho-chi-minh/oc-trang-cong-quynh,Quận 1,148750.0
https://shopeefood.vn/ho-chi-minh/banh-mi-khia,Quận 1,91615.0
https://shopeefood.vn/ho-chi-minh/chao-trang-chao-dau-hp-pham-viet-chanh,Quận 1,41601.0
https://shopeefood.vn/ho-chi-minh/com-tho-chuyen-ky,Quận 1,142941.0
https://shopeefood.vn/ho-chi-minh/banh-mi-362-tran-cao-van,Quận 1,41944.0
https://shopeefood.vn/ho-chi-minh/mr-li-steak-pasta,Quận 1,60000.0
https://shopeefood.vn/ho-chi-minh/wow-chicken-ga-ran-com-ga-suong-nguyet-anh,Quận 1,73607.0
https://shopeefood.vn/ho-chi-minh/banh-cuon-bac,Quận 1,79000.0
https://shopeefood.vn/ho-chi-minh/quan-48-banh-canh-cua-hu-tieu-nam-vang,Quận 1,54166.0
https://shopeefood.vn/ho-chi-minh/wagao-sushi,Quận 1,162662.0
https://shopeefood.vn/ho-chi-minh/pho-24-pasteur,Quận 1,69852.0
https://shopeefood.vn/ho-chi-minh/quan-dong-nhan-com-ba-ca-truong-dinh,Quận 1,58500.0
https://shopeefood.vn/ho-chi-minh/com-tam-cha-cua-nguyen-phi-khanh,Quận 1,73250.0
https://shopeefood.vn/ho-chi-minh/chicago-com-trua-van-phong-nguyen-thi-minh-khai,Quận 1,52893.0
https://shopeefood.vn/ho-chi-minh/com-tam-thanh-nam,Quận 1,33785.0
https://shopeefood.vn/ho-chi-minh/banh-canh-cua-nguyen-cong-tru,Quận 1,42600.0
https://shopeefood.vn/ho-chi-minh/banh-xeo-nhat-le-thanh-ton,Quận 1,60000.0
https://shopeefood.vn/ho-chi-minh/tran-quang-ky-vit-quay-sot-tieu-den-tran-quang-khai,Quận 1,150200.0
https://shopeefood.vn/ho-chi-minh/quan-loi-nho-dac-san-quang-nam,Quận 1,33944.0
https://shopeefood.vn/ho-chi-minh/mi-quang-3-anh-em-pasteur,Quận 1,57058.0
https://shopeefood.vn/ho-chi-minh/pho-so-1-ha-noi,Quận 1,45909.0
https://shopeefood.vn/ho-chi-minh/quan-an-thanh-binh-le-thanh-ton,Quận 1,105294.0
